名称,镜像,内网IP,浮动IP,配置,CPU,内存,硬盘,状态,锁定,计费方式,创建于
jh_test,CentOS7.4_new,192.168.177.11,10.225.111.13,1C.1G,1核,1GB,10G,运行中,FALSE,按量计费,2021/6/11 16:27
win7-test,-,192.168.177.26,,4C.4G,4核,4GB,50G,运行中,FALSE,按量计费,2021/4/1 11:38
test11-test,CentOS7.6,192.168.177.7,,1C.1G,1核,1GB,10G,运行中,FALSE,按量计费,2021/3/11 21:23
qianyitest02,-,192.168.177.40,,2C.4G,2核,4GB,80G,关闭,FALSE,按量计费,2021/2/7 11:22
SH_shipin_FTP,Windows2016,192.168.177.10,10.225.111.7,2C.4G,2核,4GB,1T,运行中,FALSE,按量计费,2021/2/4 12:16
test11,CentOS7.6,192.168.177.14,10.225.111.12,1C.1G,1核,1GB,10G,关闭,FALSE,按量计费,2021/1/29 9:49
FTP_TEST,Windows2016,192.168.177.16,,2C.4G,2核,4GB,350G,运行中,FALSE,按量计费,2021/1/27 17:47
